Temperature (C),Fahrenheit (F)
24.31,75.76
24.25,75.65
24.25,75.65
24.25,75.65
24.25,75.65
24.44,75.99
24.62,76.32
24.87,76.77
25.25,77.45
25.56,78.01
25.87,78.57
26.19,79.14
26.44,79.59
26.75,80.15
27.0,80.6
27.19,80.94
27.5,81.5
27.69,81.84
27.87,82.17
28.12,82.62
28.31,82.96
28.44,83.19
28.62,83.52
28.75,83.75
28.94,84.09
29.06,84.31
29.25,84.65
29.37,84.87
29.5,85.1
29.62,85.32
29.69,85.44
29.81,85.66
29.94,85.89
30.06,86.11
30.19,86.34
30.25,86.45
30.31,86.56
30.44,86.79
30.5,86.9
30.62,87.12
30.69,87.24
30.75,87.35
30.87,87.57
30.94,87.69
30.94,87.69
31.06,87.91
31.12,88.02
31.19,88.14
31.25,88.25
31.31,88.36
31.37,88.47
31.44,88.59
31.5,88.7
31.56,88.81
31.56,88.81
31.62,88.92
31.69,89.04
31.75,89.15
31.81,89.26
31.81,89.26
31.87,89.37
31.94,89.49
32.0,89.6
32.0,89.6
32.06,89.71
32.13,89.83
32.13,89.83
32.19,89.94
32.19,89.94
32.25,90.05
32.31,90.16
32.31,90.16
32.38,90.28
32.38,90.28
32.44,90.39
32.44,90.39
32.5,90.5
32.5,90.5
32.56,90.61
32.56,90.61
32.63,90.73
32.63,90.73
32.69,90.84
32.69,90.84
32.69,90.84
32.75,90.95
32.75,90.95
32.81,91.06
32.81,91.06
32.81,91.06
32.88,91.18
32.88,91.18
32.94,91.29
32.88,91.18
32.94,91.29
33.0,91.4
33.0,91.4
33.0,91.4
33.0,91.4
33.06,91.51
