Temperature (C),Fahrenheit (F)
505073,31.5,88.7
505693,31.5,88.7
506313,31.5,88.7
506933,31.44,88.59
507553,31.44,88.59
508173,31.37,88.47
508793,31.37,88.47
509413,31.31,88.36
510033,31.37,88.47
510653,31.31,88.36
511273,31.31,88.36
511893,31.25,88.25
512513,31.25,88.25
513133,31.25,88.25
513753,31.25,88.25
514373,31.19,88.14
514993,31.19,88.14
515613,31.19,88.14
516233,31.12,88.03
516853,31.12,88.03
517473,31.12,88.03
518093,31.12,88.03
518713,31.06,87.91
519333,31.06,87.91
519953,31.06,87.91
520573,31.0,87.8
521193,31.0,87.8
521813,31.0,87.8
522433,31.0,87.8
523053,30.94,87.69
523673,30.94,87.69
524293,30.87,87.57
524913,30.87,87.57
525533,30.87,87.57
526153,30.87,87.57
526773,30.81,87.46
527393,30.87,87.57
528013,30.81,87.46
528633,30.81,87.46
529253,30.81,87.46
529873,30.75,87.35
530493,30.75,87.35
531113,30.75,87.35
531733,30.69,87.24
532353,30.69,87.24
532973,30.69,87.24
533593,30.69,87.24
534213,30.69,87.24
534833,30.62,87.12
535453,30.62,87.12
536073,30.62,87.12
536693,30.56,87.01
537313,30.56,87.01
537933,30.56,87.01
538553,30.5,86.9
539173,30.5,86.9
539793,30.5,86.9
540413,30.5,86.9
541033,30.44,86.79
541653,30.44,86.79
542273,30.44,86.79
542893,30.44,86.79
543513,30.37,86.67
544133,30.37,86.67
544753,30.37,86.67
545373,30.37,86.67
545993,30.31,86.56
546613,30.37,86.67
547233,30.31,86.56
547853,30.31,86.56
548473,30.31,86.56
549093,30.25,86.45
549713,30.25,86.45
550333,30.25,86.45
550953,30.19,86.34
551573,30.19,86.34
552193,30.19,86.34
552813,30.19,86.34
553433,30.12,86.22
554053,30.12,86.22
554673,30.12,86.22
555293,30.12,86.22
555913,30.12,86.22
556533,30.12,86.22
557153,30.06,86.11
557773,30.06,86.11
558393,30.06,86.11
559013,30.06,86.11
559633,30.0,86.0
560253,30.0,86.0
560873,30.0,86.0
561493,30.0,86.0
562113,29.94,85.89
562733,29.94,85.89
563353,29.94,85.89
563973,29.94,85.89
564593,29.94,85.89
565213,29.81,85.66
565833,29.87,85.78
566453,29.94,85.89
