Time (ms),Temperature (C),Fahrenheit (F)
7368,31.0,87.8
7986,30.94,87.69
8604,30.94,87.69
9222,30.94,87.69
9840,31.0,87.8
10458,31.12,88.03
11077,31.25,88.25
11696,31.31,88.36
12315,31.44,88.59
12934,31.5,88.7
13553,31.62,88.92
14172,31.69,89.04
14791,31.81,89.26
15410,31.81,89.26
16029,31.94,89.49
16648,32.0,89.6
17267,32.0,89.6
17886,32.13,89.82
18505,32.19,89.94
19124,32.25,90.05
19743,32.31,90.16
20362,32.38,90.28
20981,32.44,90.39
21600,32.44,90.39
22219,32.5,90.5
22838,32.56,90.61
23457,32.63,90.72
24076,32.69,90.84
24695,32.69,90.84
25314,32.75,90.95
25933,32.75,90.95
26552,32.81,91.06
27171,32.81,91.06
27790,32.88,91.17
28409,32.94,91.29
29028,32.94,91.29
29647,33.0,91.4
30266,33.0,91.4
30885,33.06,91.51
31504,33.06,91.51
32123,33.13,91.62
32742,33.19,91.74
33361,33.19,91.74
33980,33.19,91.74
34599,33.25,91.85
35218,33.25,91.85
35837,33.31,91.96
36456,33.31,91.96
37075,33.31,91.96
37694,33.31,91.96
38313,33.38,92.07
38932,33.38,92.07
39551,33.44,92.19
40170,33.44,92.19
40789,33.44,92.19
41408,33.44,92.19
42027,33.5,92.3
42646,33.56,92.41
43265,33.56,92.41
43884,33.56,92.41
44503,33.56,92.41
45122,33.56,92.41
45741,33.63,92.53
46360,33.63,92.53
46979,33.63,92.53
47598,33.69,92.64
48217,33.63,92.53
48836,33.69,92.64
49455,33.75,92.75
50074,33.69,92.64
50693,33.75,92.75
51312,33.75,92.75
51931,33.75,92.75
52550,33.75,92.75
53169,33.81,92.86
53788,33.75,92.75
54407,33.81,92.86
55026,33.81,92.86
55645,33.81,92.86
56264,33.88,92.97
56883,33.88,92.97
57502,33.88,92.97
58121,33.88,92.97
58740,33.94,93.09
59359,33.94,93.09
59978,34.0,93.2
60597,33.94,93.09
61216,33.94,93.09
61835,34.0,93.2
62454,34.0,93.2
63073,34.0,93.2
63692,34.0,93.2
64311,34.0,93.2
64930,34.06,93.31
65549,34.0,93.2
66168,34.06,93.31
66787,34.06,93.31
67406,34.06,93.31
68025,34.06,93.31
68644,34.13,93.42
